cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
182,3,2,93,6,3,0,1,3
138,3,2.5,93,5,1,0,1,3
134,2.5,2.5,96.5,0,1,0,1,3
72,2,2,100,0,1,0,1,3
47,2,0,93,6.5,1,0,1,3
46,2,2,93,4,1,0,1,3
51,1,-1,100,7,4,0,1,3
75,1,-1,100,7,4,0,1,3
131,1.5,-1,96.5,8,4,0,1,3
301,2,-0.5,100,9,3,0,1,3
528,3,-0.5,93,12,3,0,1,3
727,2,-1.5,100,12,3,0,1,3
862,2,-1.5,96.5,13,4,0,1,3
916,3,-0.5,87,15,3,0,1,3
1039,2.5,0,90,8,3,0,1,3
869,2,-1.5,93,11,3,0,1,3
737,3,0,93,12,3,0,1,3
594,3,0,93,11,3,0,1,3
522,3,1.5,93,6.5,3,0,1,3
379,3,1,93,7,3,0,1,3
328,3,3,93,4,3,0,1,3
221,3,2.5,93,5,4,0,1,3
178,3,2,93,6,4,0,1,3
157,4,3.5,87,5,4,0,1,3
83,4,3,93,6,4,0,0,3
67,4,3.5,93,5,4,0,0,3
32,5,4,87,6,4,0,0,3
22,6,4.5,84,7.5,4,0,0,3
38,6.5,5,84,8,4,0,0,3
81,6,5.5,87,5,4,0,0,3
444,7,6.5,81,5,3,0,0,3
1597,7,6,81,6.5,3,0,0,3
3161,8,7.5,79,5,3,0,0,3
1342,8,7,82,6,3,0,0,3
568,9,8,84.5,6.5,3,0,0,3
584,9,7.5,90.5,10,3,0,0,3
762,10,8,85,11,3,0,0,3
873,10,8.5,82,10,3,0,0,3
672,10,9,82,9,3,0,0,3
807,10,8.5,79,10,3,0,0,3
1192,10,8.5,73.5,13,3,0,0,3
2761,9.5,7.5,73.5,12,3,0,0,3
2389,9.5,7.5,69,14,3,0,0,3
1274,9,6.5,71,14,3,0,0,3
696,9,7,71,14,3,0,0,3
411,9,7,71,11,3,0,0,3
324,9,7.5,71,10,4,0,0,3
192,8.5,7.5,73.5,8,4,0,0,3
91,8,6.5,76,8,4,0,0,3
73,8,6.5,76,8,4,0,0,3
33,8,6,76,11,4,0,0,3
19,8,5.5,76,14,4,0,0,3
40,8.5,6.5,73.5,11,4,0,0,3
74,8,5.5,82,14,4,0,0,3
530,8,5,84.5,15,3,0,0,3
1715,9,7,82,13,3,0,0,3
3534,9,7,82,12,7,0,0,3
1573,9,6.5,87,16,7,0,0,3
635,10,7.5,88,19.5,3,0,0,3
550,10,8,88,18,3,0,0,3
395,11,11,85,19,7,0,0,3
426,9.5,6,84.5,27.5,3,0,0,3
579,9,6,71,26,3,0,0,3
718,8,4.5,71,23,2,0,0,3
1184,8,5,68.5,19.5,2,0,0,3
2662,7.5,4,71,22,1,0,0,3
2610,7,4,71,17.5,1,0,0,3
1402,6,3,76,15,1,0,0,3
720,5.5,2.5,78.5,15,1,0,0,3
494,5,2,81,15,1,0,0,3
344,4.5,1.5,81,13,1,0,0,3
212,4,1,84,12,1,0,0,3
102,4,1,81,12,1,0,0,3
60,4,1,81,11,1,0,0,3
33,4,1.5,81,10,1,0,0,3
26,3.5,1,84,9,2,0,0,3
33,4,1.5,81,10,2,0,0,3
80,4,2,87,9,1,0,0,3
526,5,2.5,81,10,1,0,0,3
1757,5.5,2.5,81,13,1,0,0,3
3618,6.5,3.5,81,15,2,0,0,3
1714,8,5,76,19,3,0,0,3
763,8,5,82,19.5,2,0,0,3
690,9,6,76,21,2,0,0,3
913,9,5.5,76,27,2,0,0,3
982,9.5,6,71.5,28,2,0,0,3
783,10,6.5,62,28.5,2,0,0,3
794,9,6,68.5,25,2,0,0,3
1171,9,6,76,25,3,0,0,3
2647,9.5,6.5,71.5,24,3,0,0,3
2579,10,7,71,30,3,0,0,3
657,10,6.5,79,30.5,3,0,0,3
516,10,7,82,27,7,0,0,3
414,10,7,82,27,7,0,0,3
206,10,7,85,24,7,0,0,3
123,11,11,82,26,4,0,0,3
56,11.5,11.5,85,24,3,0,0,3
51,12,12,82,25,3,0,0,3
33,12,12,85,22,3,0,0,3
32,12,12,88,20.5,7,0,0,3
87,12,12,80,20.5,7,0,0,3
511,11.5,11.5,74.5,17,3,0,0,3
982,10.5,9.5,82.5,17,7,0,0,3
1228,9.5,7.5,87.5,14,7,0,0,3
573,9,7,87,13,7,0,0,3
185,9,7,87,14,7,0,0,3
193,9,6,82,20.5,7,0,0,3
522,9,6.5,84.5,17,2,0,0,3
672,9,5.5,79,27,2,0,0,3
761,10,7,71,22,2,0,0,3
781,9,6,71,22,2,0,0,3
1212,9,6,71,19.5,2,0,0,3
2351,9,6,76,22,2,0,0,3
2110,8.5,5.5,73.5,22.5,1,0,0,3
1239,8,5,73.5,20.5,1,0,0,3
752,8,5,76,17,1,0,0,3
457,8,4.5,76,20.5,1,0,0,3
423,8.5,5.5,73.5,21,1,0,0,3
267,9,5.5,76,27,2,0,0,3
147,10,7,71,28,2,0,0,3
60,10,7,73.5,30,7,0,0,3
65,10,6.5,79,29.5,7,0,0,3
42,11,11,79.5,29,3,0,0,3
47,11,11,85,33,3,0,0,3
85,11.5,11.5,85,33,3,0,0,3
441,12,12,82,32.5,3,0,0,3
1593,12,12,82,31.5,3,0,0,3
3505,12,12,79.5,25,2,0,0,3
1768,12,12,74.5,30,2,0,0,3
799,12.5,12.5,69.5,29.5,1,0,0,3
806,13,13,67,28,1,0,0,3
1052,13,13,67,26,1,0,0,3
1078,13,13,63,30,1,0,0,3
976,13,13,63,26,2,0,0,3
912,13.5,13.5,67.5,33.5,7,0,0,3
1229,13,13,79.5,37,7,0,0,3
2409,13.5,13.5,85,35,7,0,0,3
1983,15,15,82,36,7,0,0,3
1094,15.5,15.5,77,41,7,0,0,3
686,15,15,72,44,3,0,0,3
443,15,15,68,41,3,0,0,3
464,15,15,68,40,3,0,0,3
420,14,14,77,41.5,4,0,0,3
392,14,14,77,39,4,0,1,3
277,14,14,77,40,4,0,1,3
189,14,14,72,40.5,3,0,1,3
153,13,13,77,41,3,0,1,3
90,13,13,77,36,3,0,1,3
52,13,13,77,35,3,0,1,3
69,13,13,82,35,7,0,1,3
143,13,13,79.5,35,3,0,1,3
321,14,14,74.5,40,3,0,1,3
619,14,14,77,48,3,0,1,3
757,14,14,74.5,41,7,0,1,3
800,11.5,11.5,67.5,42.5,3,0,1,3
1191,11.5,11.5,58,41.5,2,0,1,3
1395,10.5,8.5,54,38,3,0,1,3
1358,9,4.5,54,42.5,3,0,1,3
1436,9,5,48,35,2,0,1,3
1270,8,4,51.5,27,1,0,1,3
1054,8,4,51.5,29,2,0,1,3
849,7,3,55,26,1,0,1,3
720,6,2,57,26,1,0,1,3
556,6,2,57,25,1,0,1,3
349,6,2,57,21,1,0,1,3
335,5,1,66,20,1,0,1,3
334,5,1,66,19.5,1,0,1,3
360,4.5,0.5,72.5,22,1,0,1,3
255,4,-0.5,75,22,1,0,1,3
198,4,-0.5,75,23,1,0,1,3
135,4,-1,75,27,2,0,1,3
74,4,-1,72.5,28,1,0,1,3
57,4,-1,70,27,1,0,1,3
67,4.5,0,68,24,1,0,1,3
93,5,1,66,24,1,0,1,3
241,5,0,66,29.5,1,0,1,3
538,5.5,0.5,63.5,29,1,0,1,3
922,6.5,2,61,30,1,0,1,3
1248,7.5,3.5,59,27,1,0,1,3
1555,8.5,4.5,55.5,27,1,0,1,3
1813,9,5,56,28,2,0,1,3
1639,9,5,60,28,2,0,1,3
1464,8.5,5,64,26,3,0,1,3
1097,8,4.5,66,23,3,0,1,3
827,8,5,71,20.5,7,0,1,3
519,8,4,73.5,25,7,0,1,3
493,8,4,73.5,24,3,0,1,3
315,8,4.5,71,26,7,0,1,3
260,8,4,71,30,7,0,1,3
237,9,5,66,37,7,0,1,3
168,9,5,71,30.5,3,0,1,3
117,9,5,68.5,29,2,0,0,3
45,10,6,60,34,4,0,0,3
29,10,7,64.5,30,4,0,0,3
36,10,6.5,67,30.5,3,0,0,3
26,10,6.5,67,33.5,3,0,0,3
86,10,6,67,35,3,0,0,3
433,10,6,73.5,31,7,0,0,3
1541,10,7,76,30,7,0,0,3
3418,10,6,76,31,3,0,0,3
1832,11.5,11.5,67,32.5,3,0,0,3
723,12,12,67,33,3,0,0,3
654,12,12,74.5,39,3,0,0,3
700,12,12,79.5,29.5,3,0,0,3
631,12,12,79.5,29.5,3,0,0,3
520,12.5,12.5,77,33,7,0,0,3
374,12,12,82,25,7,0,0,3
669,12,12,82,22.5,7,0,0,3
1510,11.5,11.5,88,22,7,0,0,3
1186,11,11,94,22,7,0,0,3
1136,11.5,11.5,85,22,7,0,0,3
753,12,12,82,20,4,0,0,3
510,12,12,85,18.5,7,0,0,3
184,12,12,88,21,7,0,0,3
86,12,12,88,23,7,0,0,3
64,12,12,88,25,7,0,0,3
29,12,12,88,30,7,0,0,3
21,11.5,11.5,88,24.5,7,0,0,3
13,11,11,85,19,7,0,0,3
33,11,11,82,21,7,0,0,3
113,10.5,9,79.5,21,7,0,0,3
600,10,7.5,82,20.5,2,0,0,3
1584,9.5,6.5,79,21,7,0,0,3
3960,9,6.5,71,16,2,0,0,3
2090,9,6,71,18,2,0,0,3
960,9,6.5,71,17.5,1,0,0,3
866,9,6,68.5,18,2,0,0,3
1019,9.5,6.5,64,20.5,7,0,0,3
719,9,5.5,73.5,27.5,7,0,0,3
811,8.5,4.5,71,29,7,0,0,3
883,8,4.5,73.5,21.5,2,0,0,3
1391,7.5,4,68.5,23,2,0,0,3
2886,7,3,71,22,2,0,0,3
2659,7,4.5,71,14,7,0,0,3
1548,6,2.5,76,19.5,7,0,0,3
947,5.5,1.5,76,21,2,0,0,3
660,5,1,76,23,2,0,0,3
501,5,2,76,17,1,0,0,3
340,5,1,70,19.5,1,0,0,3
168,5,0.5,66,26,1,0,0,3
79,5,0,66,30,1,0,0,3
60,5,0.5,66,24,1,0,0,3
54,4.5,0.5,72.5,21,1,0,0,3
44,4.5,1.5,72.5,14,1,0,0,3
93,5,1.5,70,17.5,1,0,0,3
560,5,1,70,23,3,0,0,3
1820,4.5,-1,68,30.5,2,0,0,3
3904,4,-1,70,26,2,0,0,3
